Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691396
,MIR.M.U2.B.L22.F.B.A.2250.EUR.N,MIR.M.U2.B.L22.G.B.A.2250.EUR.N,MIR.M.U2.B.L22.H.B.A.2250.EUR.N
,Up to 1 year,Over 1 and up to 2 years,Over 2 years
Collection:,Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Millions of Euro]
2023Feb,72178.19,10858.78,9808.10
2023Jan,70289.26,10197.48,10375.19
2022Dec,59562.31,7172.01,6746.89
2022Nov,49352.74,6372.27,6414.78
2022Oct,37956.32,4511.26,5432.74
2022Sep,29502.16,2778.08,4249.37
2022Aug,22206.77,2528.30,3723.98
2022Jul,20247.92,2274.00,3590.94
2022Jun,19460.62,1688.12,3035.21
2022May,18592.67,2036.38,3007.53
2022Apr,18308.49,1785.48,2689.75
2022Mar,19747.08,1723.72,3212.05
2022Feb,18489.53,2078.07,2580.81
2022Jan,20602.82,2665.10,2914.15
2021Dec,20031.21,2517.88,3278.56
2021Nov,18583.09,2409.23,2924.29
2021Oct,20149.39,2068.22,2765.62
2021Sep,20748.85,2026.58,2739.49
2021Aug,20040.35,2129.97,2602.15
2021Jul,22494.70,2490.26,3062.18
2021Jun,22383.97,2138.90,2881.33
2021May,21812.97,2295.63,2851.68
2021Apr,22153.05,2418.75,2962.05
2021Mar,24588.44,2691.81,3559.99
2021Feb,22477.01,2753.81,3487.87
2021Jan,28328.80,3633.59,3756.90
2020Dec,30744.48,3631.43,3971.81
2020Nov,26755.30,3546.50,3460.80
2020Oct,27990.80,4090.31,3860.57
2020Sep,28845.17,3867.54,3264.80
2020Aug,25327.39,3890.95,2893.34
2020Jul,31541.87,5867.14,3518.96
2020Jun,28686.23,5843.80,3689.55
2020May,28324.30,5932.66,3004.96
2020Apr,28649.16,4460.04,2739.82
2020Mar,30502.48,4375.43,3604.91
2020Feb,31651.89,5331.18,4523.93
2020Jan,37082.47,6490.43,5228.99
2019Dec,33813.11,5690.66,5017.13
2019Nov,30852.14,5791.19,4720.59
2019Oct,35138.91,5802.53,5042.99
2019Sep,33358.27,5894.72,4769.25
2019Aug,32086.00,5935.53,4277.62
2019Jul,39552.36,6850.69,4768.22
2019Jun,33790.51,6866.99,4255.73
2019May,36826.23,8055.16,4899.98
2019Apr,37940.66,7275.34,4982.61
2019Mar,40073.83,8107.19,5556.43
2019Feb,39318.96,7689.26,5876.25
2019Jan,48224.96,7644.34,6166.09
2018Dec,41629.53,6588.16,5070.49
2018Nov,40366.40,6791.78,5027.29
2018Oct,42264.00,6626.70,4943.22
2018Sep,39130.56,5685.02,4087.75
2018Aug,38439.39,6269.20,4239.52
2018Jul,42960.79,7128.68,4348.60
2018Jun,39735.50,6771.01,4596.48
2018May,40714.38,7540.54,4475.69
2018Apr,39391.79,7892.72,4538.84
2018Mar,40130.50,7766.92,4348.78
2018Feb,35857.95,7731.10,4671.57
2018Jan,43998.23,8455.98,5412.00
2017Dec,37679.53,7377.10,4676.30
2017Nov,38442.23,7371.41,4521.35
2017Oct,40654.88,7962.48,4180.81
2017Sep,38765.29,7279.36,3535.37
2017Aug,39643.97,7044.18,3536.84
