Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=f921365564ca8d9c68751779a0691cea&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=2&DATASET=3&removeItem=&removedItemList=&mergeFilter=&activeTab=MIR&showHide=&REF_AREA.36=U2&MATURITY_NOT_IRATE.36=F&MATURITY_NOT_IRATE.36=K&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691393&legendRef=reference&legendPub=published&legendNor=
,MIR.M.U2.B.A20.F.R.A.2240.EUR.O,MIR.M.U2.B.A20.K.R.A.2240.EUR.O,MIR.M.U2.B.A20.K.R.A.2250.EUR.O,MIR.M.U2.B.A22.F.R.A.2250.EUR.O,MIR.M.U2.B.A22.K.R.A.2250.EUR.O,MIR.M.U2.B.A25.F.R.A.2250.EUR.O,MIR.M.U2.B.A25.K.R.A.2250.EUR.O
,"Loans, Up to 1 year, Non-Financial corporations (S.11)","Loans, Over 1 year, Non-Financial corporations (S.11)","Loans, Over 1 year, Households and non-profit institutions serving households (S.14 and S.15)","Lending for house purchase, Up to 1 year, Households and non-profit institutions serving households (S.14 and S.15)","Lending for house purchase, Over 1 year, Households and non-profit institutions serving households (S.14 and S.15)","Credit for consumption and other lending, Up to 1 year, Households and non-profit institutions serving households (S.14 and S.15)","Credit for consumption and other lending, Over 1 year, Households and non-profit institutions serving households (S.14 and S.15)"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2023Feb,3.81,2.75,2.47,3.30,2.04,6.83,4.39
2023Jan,3.52,2.64,2.39,3.14,1.97,6.64,4.31
2022Dec,3.19,2.45,2.30,2.78,1.90,6.27,4.20
2022Nov,2.86,2.24,2.25,2.56,1.84,6.08,4.12
2022Oct,2.48,2.11,2.18,2.39,1.78,6.01,4.05
2022Sep,2.13,1.91,2.11,2.08,1.71,5.74,3.94
2022Aug,1.76,1.76,2.05,1.95,1.67,5.51,3.88
2022Jul,1.67,1.71,2.03,1.87,1.64,5.38,3.87
2022Jun,1.58,1.67,2.02,1.72,1.63,5.32,3.84
2022May,1.52,1.63,2.01,1.73,1.61,5.42,3.82
2022Apr,1.52,1.62,2.01,1.70,1.61,5.35,3.78
2022Mar,1.52,1.61,2.01,1.70,1.62,5.35,3.80
2022Feb,1.47,1.62,2.03,1.68,1.63,5.37,3.85
2022Jan,1.48,1.61,2.00,1.68,1.61,5.38,3.81
2021Dec,1.47,1.61,2.03,1.64,1.63,5.30,3.83
2021Nov,1.47,1.64,2.05,1.66,1.64,5.36,3.84
2021Oct,1.50,1.64,2.05,1.64,1.65,5.34,3.83
2021Sep,1.54,1.66,2.07,1.65,1.66,5.37,3.86
2021Aug,1.50,1.66,2.08,1.66,1.67,5.26,3.85
