Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=f07896d07068d65b6f7d5af3f5c2a04d&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=MIR&showHide=&REF_AREA.36=U2&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691556&legendPub=published&SERIES_KEY=124.MIR.M.U2.B.A2J.FM.R.A.2230.EUR.N&SERIES_KEY=124.MIR.M.U2.B.A2J.KM.R.A.2230.EUR.N
,MIR.M.U2.B.A2J.FM.R.A.2230.EUR.N,MIR.M.U2.B.A2J.KM.R.A.2230.EUR.N
,Up to 1 year calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes),Over 1 year calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes)
Collection:,Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ]
2023Feb,3.83,3.45
2023Jan,3.62,3.28
2022Dec,3.39,3.12
2022Nov,3.03,3.09
2022Oct,2.64,2.85
2022Sep,2.35,2.53
2022Aug,1.78,2.31
2022Jul,1.68,2.24
2022Jun,1.75,2.09
2022May,1.44,1.91
2022Apr,1.45,1.69
2022Mar,1.45,1.55
2022Feb,1.38,1.46
2022Jan,1.42,1.37
2021Dec,1.36,1.31
2021Nov,1.39,1.34
2021Oct,1.43,1.34
2021Sep,1.49,1.36
2021Aug,1.45,1.33
2021Jul,1.50,1.32
2021Jun,1.46,1.37
2021May,1.45,1.38
2021Apr,1.56,1.39
2021Mar,1.39,1.35
2021Feb,1.49,1.36
2021Jan,1.50,1.38
2020Dec,1.51,1.36
2020Nov,1.51,1.40
2020Oct,1.52,1.44
2020Sep,1.51,1.43
2020Aug,1.52,1.42
2020Jul,1.50,1.46
2020Jun,1.48,1.46
2020May,1.46,1.42
2020Apr,1.48,1.42
2020Mar,1.46,1.39
2020Feb,1.52,1.43
2020Jan,1.55,1.44
2019Dec,1.56,1.43
2019Nov,1.55,1.47
2019Oct,1.56,1.45
2019Sep,1.54,1.49
2019Aug,1.50,1.57
2019Jul,1.56,1.60
2019Jun,1.54,1.65
2019May,1.54,1.72
2019Apr,1.61,1.73
2019Mar,1.62,1.80
2019Feb,1.61,1.82
2019Jan,1.60,1.82
2018Dec,1.61,1.79
2018Nov,1.63,1.84
2018Oct,1.60,1.83
2018Sep,1.62,1.81
2018Aug,1.60,1.84
2018Jul,1.60,1.82
2018Jun,1.65,1.84
2018May,1.59,1.85
2018Apr,1.68,1.85
2018Mar,1.71,1.85
2018Feb,1.68,1.86
2018Jan,1.62,1.84
2017Dec,1.70,1.80
2017Nov,1.71,1.85
2017Oct,1.72,1.87
2017Sep,1.72,1.87
2017Aug,1.74,1.89
2017Jul,1.73,1.86
2017Jun,1.76,1.84
2017May,1.75,1.86
2017Apr,1.81,1.87
2017Mar,1.82,1.84
2017Feb,1.76,1.84
