Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=5c4d9666ac3a6733a6ba33533939ccbd&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=MIR&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691394&legendRef=reference&legendPub=published&legendNor=
,MIR.M.U2.B.L22.A.R.A.2230.EUR.O,MIR.M.U2.B.L22.H.R.A.2230.EUR.O,MIR.M.U2.B.L22.L.R.A.2230.EUR.O
,Total,Over 2 years,Up to two years
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ]
2023Feb,1.60,1.71,1.50
2023Jan,1.45,1.64,1.28
2022Dec,1.30,1.57,1.04
2022Nov,1.17,1.55,0.79
2022Oct,1.05,1.51,0.54
2022Sep,0.98,1.50,0.34
2022Aug,0.93,1.48,0.19
2022Jul,0.92,1.46,0.15
2022Jun,0.93,1.49,0.12
2022May,0.92,1.47,0.10
2022Apr,0.91,1.49,0.08
2022Mar,0.91,1.49,0.08
2022Feb,0.94,1.54,0.08
2022Jan,0.90,1.48,0.08
2021Dec,0.90,1.50,0.08
2021Nov,0.92,1.52,0.10
2021Oct,0.91,1.51,0.10
2021Sep,0.92,1.53,0.11
2021Aug,0.92,1.52,0.12
2021Jul,0.93,1.53,0.12
2021Jun,0.94,1.56,0.13
2021May,0.93,1.55,0.13
2021Apr,0.94,1.57,0.14
2021Mar,0.93,1.57,0.14
2021Feb,0.97,1.62,0.15
2021Jan,0.94,1.58,0.15
2020Dec,0.93,1.58,0.15
2020Nov,0.95,1.60,0.16
2020Oct,0.94,1.59,0.16
2020Sep,0.96,1.62,0.16
2020Aug,0.95,1.61,0.18
2020Jul,0.96,1.62,0.18
2020Jun,0.99,1.64,0.20
2020May,0.98,1.63,0.20
2020Apr,1.00,1.64,0.21
2020Mar,1.01,1.64,0.22
2020Feb,1.04,1.66,0.23
2020Jan,1.03,1.65,0.23
2019Dec,1.03,1.66,0.24
2019Nov,1.04,1.68,0.24
2019Oct,1.03,1.66,0.25
2019Sep,1.04,1.69,0.25
2019Aug,1.04,1.68,0.26
2019Jul,1.04,1.69,0.26
2019Jun,1.06,1.71,0.26
2019May,1.05,1.70,0.26
2019Apr,1.06,1.73,0.26
2019Mar,1.06,1.73,0.26
2019Feb,1.08,1.78,0.26
2019Jan,1.06,1.74,0.26
2018Dec,1.06,1.75,0.25
2018Nov,1.08,1.77,0.26
2018Oct,1.08,1.77,0.27
2018Sep,1.09,1.79,0.28
2018Aug,1.09,1.78,0.28
2018Jul,1.10,1.79,0.29
2018Jun,1.11,1.81,0.29
2018May,1.11,1.81,0.30
2018Apr,1.12,1.83,0.30
2018Mar,1.11,1.84,0.31
2018Feb,1.14,1.89,0.31
2018Jan,1.11,1.85,0.32
2017Dec,1.12,1.85,0.33
2017Nov,1.13,1.88,0.34
2017Oct,1.13,1.87,0.35
2017Sep,1.14,1.89,0.35
2017Aug,1.14,1.89,0.35
2017Jul,1.14,1.90,0.36
2017Jun,1.15,1.92,0.37
2017May,1.15,1.92,0.37
2017Apr,1.16,1.94,0.38
2017Mar,1.16,1.94,0.39
2017Feb,1.19,1.99,0.40
2017Jan,1.19,1.96,0.42
2016Dec,1.20,1.99,0.43
2016Nov,1.22,2.02,0.45
2016Oct,1.22,2.02,0.47
2016Sep,1.24,2.05,0.48
2016Aug,1.25,2.05,0.50
2016Jul,1.26,2.06,0.51
2016Jun,1.29,2.09,0.53
2016May,1.29,2.09,0.56
2016Apr,1.32,2.12,0.57
2016Mar,1.33,2.12,0.59
2016Feb,1.38,2.18,0.63
2016Jan,1.39,2.17,0.65
2015Dec,1.41,2.20,0.68
2015Nov,1.44,2.22,0.71
2015Oct,1.47,2.23,0.75
2015Sep,1.50,2.26,0.78
2015Aug,1.51,2.26,0.81
2015Jul,1.54,2.28,0.84
2015Jun,1.58,2.32,0.90
2015May,1.60,2.32,0.93
2015Apr,1.62,2.35,0.97
2015Mar,1.65,2.36,1.02
2015Feb,1.70,2.42,1.07
2015Jan,1.71,2.37,1.16
2014Dec,1.75,2.39,1.23
2014Nov,1.79,2.43,1.27
2014Oct,1.81,2.43,1.31
2014Sep,1.85,2.47,1.36
2014Aug,1.87,2.47,1.40
2014Jul,1.90,2.48,1.45
2014Jun,1.95,2.52,1.50
2014May,1.97,2.53,1.54
2014Apr,2.01,2.57,1.57
2014Mar,2.03,2.58,1.61
2014Feb,2.07,2.63,1.65
2014Jan,2.08,2.60,1.68
2013Dec,2.12,2.62,1.74
2013Nov,2.16,2.65,1.81
2013Oct,2.19,2.65,1.86
2013Sep,2.25,2.69,1.93
2013Aug,2.27,2.68,1.98
2013Jul,2.30,2.69,2.03
2013Jun,2.35,2.71,2.11
2013May,2.39,2.71,2.16
2013Apr,2.42,2.74,2.21
2013Mar,2.46,2.75,2.27
2013Feb,2.51,2.80,2.33
2013Jan,2.50,2.76,2.34
2012Dec,2.54,2.78,2.39
2012Nov,2.55,2.80,2.40
2012Oct,2.55,2.79,2.40
2012Sep,2.59,2.85,2.43
2012Aug,2.59,2.83,2.44
2012Jul,2.61,2.84,2.47
2012Jun,2.64,2.87,2.49
2012May,2.64,2.86,2.51
2012Apr,2.67,2.88,2.54
2012Mar,2.68,2.87,2.57
2012Feb,2.69,2.87,2.58
2012Jan,2.67,2.85,2.57
2011Dec,2.66,2.85,2.55
2011Nov,2.66,2.87,2.53
2011Oct,2.63,2.85,2.50
2011Sep,2.62,2.86,2.47
2011Aug,2.59,2.84,2.44
2011Jul,2.57,2.85,2.40
2011Jun,2.53,2.83,2.35
