Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691396
,MIR.M.U2.B.L22.F.B.A.2240.EUR.N,MIR.M.U2.B.L22.F.B.A.2250.EUR.N,MIR.M.U2.B.L22.G.B.A.2240.EUR.N,MIR.M.U2.B.L22.G.B.A.2250.EUR.N,MIR.M.U2.B.L22.H.B.A.2240.EUR.N,MIR.M.U2.B.L22.H.B.A.2250.EUR.N
,"Up to 1 year, Non-Financial corporations (S.11)","Up to 1 year, Households and non-profit institutions serving households (S.14 and S.15)","Over 1 and up to 2 years, Non-Financial corporations (S.11)","Over 1 and up to 2 years, Households and non-profit institutions serving households (S.14 and S.15)","Over 2 years, Non-Financial corporations (S.11)","Over 2 years, Households and non-profit institutions serving households (S.14 and S.15)"
Collection:,Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro]
2023Feb,210839.11,72178.19,4751.21,10858.78,5712.14,9808.10
2023Jan,216542.70,70289.26,6167.55,10197.48,5875.55,10375.19
2022Dec,199013.37,59562.31,7994.35,7172.01,7485.17,6746.89
2022Nov,222211.80,49352.74,6161.27,6372.27,8362.10,6414.78
2022Oct,212209.28,37956.32,4374.60,4511.26,11126.14,5432.74
2022Sep,145451.23,29502.16,2886.12,2778.08,5040.68,4249.37
2022Aug,103414.70,22206.77,2935.87,2528.30,4021.66,3723.98
2022Jul,74987.60,20247.92,2731.69,2274.00,5041.76,3590.94
2022Jun,85347.19,19460.62,3583.73,1688.12,3429.99,3035.21
2022May,83014.36,18592.67,3503.63,2036.38,3503.47,3007.53
2022Apr,83880.25,18308.49,1906.55,1785.48,3170.61,2689.75
2022Mar,89646.07,19747.08,2025.14,1723.72,3590.97,3212.05
2022Feb,64557.47,18489.53,1211.52,2078.07,3119.86,2580.81
2022Jan,73167.32,20602.82,939.29,2665.10,2815.49,2914.15
2021Dec,88830.15,20031.21,1995.82,2517.88,3615.90,3278.56
2021Nov,82745.87,18583.09,1572.69,2409.23,2916.95,2924.29
2021Oct,108259.67,20149.39,766.26,2068.22,2878.97,2765.62
2021Sep,88153.62,20748.85,1588.56,2026.58,1887.62,2739.49
2021Aug,78749.46,20040.35,919.61,2129.97,1275.89,2602.15
2021Jul,96777.73,22494.70,1399.96,2490.26,1763.71,3062.18
2021Jun,105715.36,22383.97,1228.31,2138.90,1529.97,2881.33
2021May,93231.94,21812.97,1363.32,2295.63,1594.52,2851.68
2021Apr,87134.81,22153.05,764.89,2418.75,1364.22,2962.05
2021Mar,101512.15,24588.44,1277.41,2691.81,2636.15,3559.99
2021Feb,63244.98,22477.01,1279.13,2753.81,1919.29,3487.87
2021Jan,73865.95,28328.80,1870.34,3633.59,2654.72,3756.90
2020Dec,78749.93,30744.48,4216.96,3631.43,3337.24,3971.81
2020Nov,75476.41,26755.30,2006.59,3546.50,2585.65,3460.80
2020Oct,87572.45,27990.80,1714.83,4090.31,2464.19,3860.57
2020Sep,85309.56,28845.17,1784.24,3867.54,2424.00,3264.80
2020Aug,79421.78,25327.39,1675.44,3890.95,1015.68,2893.34
2020Jul,92800.20,31541.87,4111.79,5867.14,2554.41,3518.96
2020Jun,86982.84,28686.23,3613.57,5843.80,3298.36,3689.55
2020May,91031.49,28324.30,4859.38,5932.66,1283.38,3004.96
2020Apr,81894.21,28649.16,3221.55,4460.04,1689.46,2739.82
2020Mar,59387.63,30502.48,1881.56,4375.43,1846.65,3604.91
2020Feb,43413.40,31651.89,1638.24,5331.18,2949.84,4523.93
2020Jan,53076.50,37082.47,2657.07,6490.43,2506.37,5228.99
2019Dec,53881.77,33813.11,4853.95,5690.66,4067.54,5017.13
2019Nov,42866.40,30852.14,2637.54,5791.19,2105.95,4720.59
2019Oct,54174.33,35138.91,2269.45,5802.53,3859.14,5042.99
2019Sep,45936.92,33358.27,3377.87,5894.72,2262.21,4769.25
2019Aug,40997.28,32086.00,1698.54,5935.53,1231.44,4277.62
2019Jul,47821.91,39552.36,3335.59,6850.69,2749.97,4768.22
2019Jun,42637.06,33790.51,2657.02,6866.99,2240.84,4255.73
2019May,46193.09,36826.23,2706.89,8055.16,3160.57,4899.98
2019Apr,51767.84,37940.66,2201.11,7275.34,2324.68,4982.61
2019Mar,48402.96,40073.83,2126.17,8107.19,2491.05,5556.43
2019Feb,51215.70,39318.96,1955.63,7689.26,2520.32,5876.25
2019Jan,47454.61,48224.96,2160.60,7644.34,2653.83,6166.09
2018Dec,59246.82,41629.53,3215.06,6588.16,3940.70,5070.49
2018Nov,47422.44,40366.40,1971.25,6791.78,2629.78,5027.29
2018Oct,46247.64,42264.00,2203.50,6626.70,3200.07,4943.22
2018Sep,39914.97,39130.56,1832.60,5685.02,2441.70,4087.75
2018Aug,38022.55,38439.39,1267.32,6269.20,1923.87,4239.52
2018Jul,42513.66,42960.79,2284.71,7128.68,2979.57,4348.60
2018Jun,41769.24,39735.50,1563.33,6771.01,2778.70,4596.48
2018May,38627.66,40714.38,1781.88,7540.54,2285.15,4475.69
2018Apr,40337.87,39391.79,1404.35,7892.72,2681.96,4538.84
2018Mar,42489.07,40130.50,1644.16,7766.92,2373.51,4348.78
2018Feb,38093.20,35857.95,2161.06,7731.10,2473.16,4671.57
2018Jan,46475.23,43998.23,1979.26,8455.98,2425.22,5412.00
2017Dec,48351.13,37679.53,2242.35,7377.10,4047.18,4676.30
2017Nov,44019.54,38442.23,2135.13,7371.41,3604.77,4521.35
2017Oct,40664.57,40654.88,2445.44,7962.48,3648.74,4180.81
2017Sep,39651.07,38765.29,1502.99,7279.36,2445.38,3535.37
2017Aug,40585.23,39643.97,1104.74,7044.18,2577.84,3536.84
2017Jul,45944.51,42831.17,2647.47,7830.30,3431.19,3599.80
2017Jun,51716.23,42000.12,2562.72,9000.56,2374.38,3629.87
2017May,44171.28,44207.57,2552.60,9307.89,2274.57,3818.02
2017Apr,40760.50,41162.96,2745.05,9399.25,2488.86,3553.53
2017Mar,54039.34,47871.28,2747.99,12141.36,2099.48,4241.05
